Country/Region,Date,Type,Reference
Norway,12-03-2020,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
Romania,25-03-2020,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2
Denmark,11-03-2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#many-countries-have-also-closed-borders-to-prevent-international-travelers-from-spreading-the-virus-29
Estonia,13-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia
Netherlands,24-03-2020,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en
San Marino,09-03-2020,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown
Belarus,,,
Iceland,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Lithuania,16-03-2020,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/
New Zealand,25-03-2020,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown
Nigeria,25-03-2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL
North Ireland,23-03-2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Ireland,12-03-2020,Full,https://www.thesun.co.uk/news/11157853/what-time-irelands-coronavirus-lockdown-start/
Luxembourg,16-03-2020,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown
Monaco,17-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Qatar,11-03-2020,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison
Ecuador,24-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ecuador
Azerbaijan,02-03-2020,Full,https://en.trend.az/azerbaijan/society/3200643.html
Czech Republic,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic
Armenia,24-03-2020,Full,https://www.azatutyun.am/a/30506939.html
Dominican Republic,17-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic
Indonesia,,,
Portugal,18-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal
Andorra,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra
Latvia,13-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia
Morocco,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco
Saudi Arabia,15-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia
Senegal,24-03-2020,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Argentina,20-03-2020,Full,https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus
Chile,26-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Chile
Jordan,21-03-2020,Full,https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html
Ukraine,17-03-2020,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html
Saint Barthelemy,,,
Hungary,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hungary
Faroe Islands,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Faroe_Islands
Gibraltar,24-03-2020,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/
Liechtenstein,,,
Poland,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
Tunisia,20-03-2020,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus
Palestine,05-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine
Bosnia and Herzegovina,11-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina
Slovenia,11-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
South Africa,26-03-2020,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Bhutan,06-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bhutan
Cameroon,,,
Costa Rica,15-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Costa_Rica
Peru,10-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru
Serbia,15-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Slovakia,09-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
Togo,20-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo
Vatican City,10-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vatican_City
French Guiana,,,
Malta,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta
Martinique,20-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Martinique
Republic of Ireland,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland
Bulgaria,13-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria
Maldives,11-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives
Bangladesh,19-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bangladesh
Moldova,11-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova
Paraguay,15-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay
Albania,08-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Cyprus,25-03-2020,Full,https://www.reuters.com/article/us-health-coronavirus-cyprus-lockdown/cyprus-announces-lockdown-on-coronavirus-until-april-13-idUSKBN21A3C8
St. Martin,,,
Brunei,,,
Burkina Faso,21-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Burkina_Faso
Channel Islands,,,
Holy See,,,
Mongolia,10-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia
Panama,25-03-2020,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html
Bolivia,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bolivia
Honduras,20-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Honduras
DR Congo,,,
Jamaica,12-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jamaica
Reunion,,,
Turkey,23-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
Cuba,,,
Guyana,,,
Kazakhstan,,,
Cayman Islands,,,
Guadeloupe,,,
Ethiopia,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ethiopia
Sudan,,,
Guinea,,,
Antigua and Barbuda,,,
Aruba,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba
Kenya,15-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya
Uruguay,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay
Ghana,15-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana
Jersey,18-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey
Namibia,14-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia
Seychelles,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles
Trinidad and Tobago,13-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago
Venezuela,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela
Curacao,,,
Eswatini,,,
Gabon,,,
Guatemala,,,
Guernsey,19-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guernsey
Mauritania,,,
Rwanda,16-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda
Saint Lucia,20-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia
Saint Vincent and the Grenadines,,,
Suriname,,,
Kosovo,25-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo
Central African Republic,,,
Congo (Brazzaville),,,
Equatorial Guinea,,,
Uzbekistan,20-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uzbekistan
Guam,26-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam
Puerto Rico,13-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico
Benin,,,
Greenland,,,
Liberia,,,
Mayotte,,,
Republic of the Congo,,,
Somalia,19-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia
Tanzania,,,
The Bahamas,20-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Bahamas
Barbados,28-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados
Montenegro,24-03-2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro
The Gambia,,,
Kyrgyzstan,24-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan
Mauritius,17-03-2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius
Zambia,,,
Djibouti,,,
Chad,,,
El Salvador,,,
Fiji,,,
Nicaragua,,,
Madagascar,,,
Haiti,,,
Angola,,,
Niger,,,
Papua New Guinea,,,
Zimbabwe,,,
