Date,Market Cap,Volume,Open,Close
11-10-2021,"$13,053,689,094","$3,247,920,501",$0.00002612,N/A
10-10-2021,"$13,303,342,308","$5,792,978,516",$0.00002679,$0.00002612
09-10-2021,"$13,623,770,372","$10,919,585,067",$0.00002751,$0.00002679
08-10-2021,"$11,177,093,636","$17,979,285,473",$0.00002268,$0.00002751
07-10-2021,"$14,232,181,765","$12,943,843,777",$0.00002845,$0.00002268
06-10-2021,"$8,595,878,600","$8,379,533,674",$0.00001722,$0.00002845
05-10-2021,"$6,672,311,853","$4,506,541,023",$0.00001340,$0.00001722
04-10-2021,"$4,268,713,458","$571,169,407",$0.00000856,$0.00001340
03-10-2021,"$3,945,657,308","$289,816,370",$0.00000793,$0.00000856
02-10-2021,"$3,811,619,698","$288,599,957",$0.00000766,$0.00000793
01-10-2021,"$3,590,736,848","$292,711,704",$0.00000721,$0.00000766
30-09-2021,"$3,493,531,431","$180,694,105",$0.00000702,$0.00000721
29-09-2021,"$3,487,524,102","$211,113,771",$0.00000699,$0.00000702
28-09-2021,"$3,473,545,700","$189,525,429",$0.00000694,$0.00000699
27-09-2021,"$3,537,643,310","$238,516,917",$0.00000712,$0.00000694
26-09-2021,"$3,662,700,340","$206,572,761",$0.00000735,$0.00000712
25-09-2021,"$3,660,599,219","$417,422,036",$0.00000735,$0.00000735
24-09-2021,"$3,809,753,506","$341,264,419",$0.00000765,$0.00000735
23-09-2021,"$3,602,337,422","$260,393,495",$0.00000724,$0.00000765
22-09-2021,"$3,369,407,492","$346,231,624",$0.00000679,$0.00000724
21-09-2021,"$3,466,325,130","$547,606,564",$0.00000701,$0.00000679
20-09-2021,"$4,064,114,289","$529,108,454",$0.00000814,$0.00000701
19-09-2021,"$3,899,567,206","$464,826,455",$0.00000785,$0.00000814
18-09-2021,"$4,189,045,960","$1,556,415,559",$0.00000843,$0.00000785
17-09-2021,"$4,322,177,171","$1,468,539,999",$0.00000872,$0.00000843
16-09-2021,"$3,373,575,595","$187,612,569",$0.00000678,$0.00000872
15-09-2021,"$3,316,221,221","$168,317,336",$0.00000666,$0.00000678
14-09-2021,"$3,250,624,296","$292,462,219",$0.00000652,$0.00000666
13-09-2021,"$3,434,530,357","$218,820,235",$0.00000688,$0.00000652
12-09-2021,"$3,376,103,193","$210,629,890",$0.00000679,$0.00000688
11-09-2021,"$3,479,551,526","$416,290,242",$0.00000699,$0.00000679
10-09-2021,"$3,663,777,183","$713,703,438",$0.00000733,$0.00000699
09-09-2021,"$3,385,719,464","$917,876,871",$0.00000679,$0.00000733
08-09-2021,"$3,011,139,866","$563,109,118",$0.00000606,$0.00000679
07-09-2021,"$3,607,753,656","$314,948,668",$0.00000725,$0.00000606
06-09-2021,"$3,715,323,744","$282,550,588",$0.00000751,$0.00000725
05-09-2021,"$3,709,080,163","$347,935,517",$0.00000745,$0.00000751
04-09-2021,"$3,512,509,353","$242,687,762",$0.00000707,$0.00000745
03-09-2021,"$3,528,040,015","$268,751,643",$0.00000709,$0.00000707
02-09-2021,"$3,565,985,523","$242,785,778",$0.00000718,$0.00000709
01-09-2021,"$3,429,893,238","$286,271,876",$0.00000688,$0.00000718
31-08-2021,"$3,400,735,639","$232,139,880",$0.00000670,$0.00000688
30-08-2021,"$3,558,131,778","$215,975,076",$0.00000715,$0.00000670
29-08-2021,"$3,604,632,102","$211,564,633",$0.00000725,$0.00000715
28-08-2021,"$3,707,816,357","$292,903,846",$0.00000746,$0.00000725
27-08-2021,"$3,519,053,977","$295,771,346",$0.00000705,$0.00000746
26-08-2021,"$3,747,277,424","$312,971,415",$0.00000753,$0.00000705
25-08-2021,"$3,774,552,409","$658,712,630",$0.00000758,$0.00000753
24-08-2021,"$4,080,774,602","$304,869,969",$0.00000819,$0.00000758
23-08-2021,"$4,093,419,519","$269,876,414",$0.00000822,$0.00000819
