Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,0.000016,0.000016,0.000006,0.000009,0.000009,3271067996
2021-05-20,0.000009,0.000012,0.000008,0.000010,0.000010,2507945867
2021-05-21,0.000010,0.000010,0.000007,0.000008,0.000008,1547207565
2021-05-22,0.000008,0.000010,0.000007,0.000008,0.000008,1229821215
2021-05-23,0.000008,0.000010,0.000007,0.000008,0.000008,1585032040
2021-05-24,0.000008,0.000012,0.000008,0.000011,0.000011,2179651359
2021-05-25,0.000011,0.000011,0.000009,0.000009,0.000009,1415340765
2021-05-26,0.000009,0.000010,0.000009,0.000010,0.000010,994520516
2021-05-27,0.000010,0.000010,0.000009,0.000009,0.000009,679602960
2021-05-28,0.000009,0.000009,0.000008,0.000008,0.000008,690703669
2021-05-29,0.000008,0.000008,0.000007,0.000008,0.000008,502184994
2021-05-30,0.000008,0.000008,0.000008,0.000008,0.000008,440967883
2021-05-31,0.000008,0.000010,0.000008,0.000009,0.000009,910298126
2021-06-01,0.000009,0.000009,0.000008,0.000009,0.000009,795576484
2021-06-02,0.000009,0.000010,0.000009,0.000009,0.000009,1190841704
2021-06-03,0.000009,0.000010,0.000009,0.000010,0.000010,841784028
2021-06-04,0.000010,0.000010,0.000008,0.000009,0.000009,819027578
2021-06-05,0.000009,0.000009,0.000008,0.000008,0.000008,507707187
2021-06-06,0.000008,0.000009,0.000008,0.000009,0.000009,359457882
2021-06-07,0.000009,0.000009,0.000008,0.000008,0.000008,469707680
2021-06-08,0.000008,0.000008,0.000006,0.000007,0.000007,794735555
2021-06-09,0.000007,0.000008,0.000007,0.000007,0.000007,546752922
2021-06-10,0.000007,0.000007,0.000007,0.000007,0.000007,420178357
2021-06-11,0.000007,0.000007,0.000006,0.000006,0.000006,402206125
2021-06-12,0.000006,0.000007,0.000006,0.000006,0.000006,602206703
2021-06-13,0.000006,0.000007,0.000006,0.000007,0.000007,479855598
2021-06-14,0.000007,0.000007,0.000007,0.000007,0.000007,484227038
2021-06-15,0.000007,0.000010,0.000007,0.000007,0.000007,464565251
